2022-01-23 23:59:59+00:00,b'RT @PlaysideStudios: BEANS x SHIBA #NFT Giveaway!\n\nWe are giving away!\n50 WHITELIST SPOTS (Result in 48h)\n\nTo enter: \n1\xef\xb8\x8f\xe2\x83\xa3 Like and Retweet\xe2\x80\xa6'
2022-01-23 23:59:59+00:00,"b'@cristinavb98 Exactly!! we love him and for this reason we created this unique NFT, Do you like it??\nHEY WORLD!! NOW I WAS BORN... Finally\n#NFTGiveaway #NFTProject #WillSmithEH #WillSmith #maninblack  @makelismosbrand @garettnelson @Drop_Your_NFT_ @DropYourNFT \nhttps://t.co/DDkkRta6jT'"
2022-01-23 23:59:59+00:00,"b'RT @PowerPixelNFTs: #NFTGiveaway Red Kaizer\xf0\x9f\x8e\x81\n\n3x Winners\xf0\x9f\x8f\x86\n\n\xe2\x98\x91\xef\xb8\x8fFollow, RT +\xe2\x99\xa5\xef\xb8\x8f&amp; Tag 3 friends\n\n24H\xe2\x8f\xb3\n\n#NFT #NFTCommunity #NFTCollector #NFTGive\xe2\x80\xa6'"
2022-01-23 23:59:59+00:00,b'RT @ada_empires: \xf0\x9f\x9a\xa8500ada #Giveaway\xf0\x9f\x9a\xa8\n\n@ada_empires season 2 Royal Roman\xe2\x80\x99s is minting on the 1st of February\n\n\xe2\x9a\x94\xef\xb8\x8f1000 supply\n\xe2\x9a\x94\xef\xb8\x8f26ada each\n\xe2\x9a\x94\xef\xb8\x8f33\xe2\x80\xa6'
2022-01-23 23:59:59+00:00,b'@onlysenna_ @Companions_NFT Come on guys you got to get yourselves a free #companions or at least a whitelist spot @DanLazarus7 @lazot1 @TBraithwaite'
2022-01-23 23:59:58+00:00,b'RT @ALPACADABRAZ: Braindom Games \xf0\x9f\xa4\x9d Alpacadabraz  \n\nTwo NFT projects Giving Away 10 WL total  \xf0\x9f\x98\x8e \n\n5 WL Alpacadabraz and 5 WL Brian by Braind\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,b'RT @SaharFattah0: My character in #hicetnuncart \nhttps://t.co/SI6y5j4ZeK\n\xf0\x9f\x90\x99\xf0\x9f\xa6\x91\xf0\x9f\x90\x99\xf0\x9f\xa6\x91\xf0\x9f\x90\x99\xf0\x9f\xa6\x91\xf0\x9f\x90\x99\xf0\x9f\xa6\x91\xf0\x9f\x90\x99\xf0\x9f\xa6\x91\xf0\x9f\x90\x99\xf0\x9f\xa6\x91\n#NFT #characterdesign #CleanNFT\n#tezos  #NFTdrop #NFT\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,b'RT @7Lcrracing: Loving the bees NFT and this community A true DAO check us out Web 3 innovations and collaboration https://t.co/ZM60WMODzy\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,"b'RT @BunnyGirlNFT: \xf0\x9f\x9a\x80@Bunnygirlnft excited to announce launch Round 2 #Airdrops and #Giveaways \n\xf0\x9f\x92\xb0 Value: $ 500,000 Bunny Box NFT Girls\n\xf0\x9f\xa5\x87 Diam\xe2\x80\xa6'"
2022-01-23 23:59:58+00:00,"b""RT @rjmark_verasity: Property rights protect the #NFTartists without which he/she can't make a living. That is why stopping #NFTartworks fr\xe2\x80\xa6"""
2022-01-23 23:59:58+00:00,b'RT @GreatApeSC_NFT: Get ready for GREATNESS.\n\nWe are giving away 50 OG spots in 36 hours.\n\nTo enter:\n- Follow @GreatApeSC_NFT \n- Like \xe2\x9d\xa4and\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,"b""RT @Grumpy_Pandaz: Do you know what makes us different from other NFTs? \xf0\x9f\x90\xbc\n\nIt's that we are not tied to any other crypto-currency but to ou\xe2\x80\xa6"""
2022-01-23 23:59:58+00:00,b'RT @TheMetanoids: The Metanoids #Giveaway !\xf0\x9f\xa6\xbe\xf0\x9f\x8e\x81\n\nPrizes :\xf0\x9f\x92\xb010 SOL (Around 1000 $) + 40 WL Spot !\n\n\xe2\x9d\x93How to enter :\n\n1. Follow @TheMetanoids\n2.\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,b'RT @Sebitto: Chewing bubblegum and kicking ass!! Gots my @DigiDinoNFT today. Mint is happening right NOW!! Get it folks while they last!! \xf0\x9f\x94\xa5\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,b'RT @hollow18_: \xf0\x9f\x90\xa2 PPTC #NFTGiveaway! \xf0\x9f\x90\xa2\n\nWe are giving away 10 Whitelist Spots \xf0\x9f\x8e\x81\n\nTo Enter:\n1\xe2\x83\xa3 Follow @PPTCNFT\n2\xe2\x83\xa3 \xe2\x9d\xa4\xef\xb8\x8f &amp; RT\n3\xe2\x83\xa3 Join Their Disco\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,b'RT @OpenDeFi__: 1. Yuvraj Singh Announces NFT Collection Inspired by Memorable On-Field Moments.\n@Gadgets360 \n@_RadhikaReports \n@YUVSTRONG1\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,b'RT @thio_eth: @ParisHilton @jimmyfallon @FallonTonight most underrated NFT but simply the best international community and team @ALPACADABR\xe2\x80\xa6'
2022-01-23 23:59:58+00:00,b'RT @cloudnimbis: 2nd @RebelRabbits1 in the bag #watu \n@GeniusNFT #nft #nftcommunity #nftart https://t.co/CnVKXB2Nno'
2022-01-23 23:59:57+00:00,b'RT @sheebagupta1990: Just got myself a #BTCFlower . Really stoked with my seed. Waiting for it to bloom to a full grown Btc flower . Thnk u\xe2\x80\xa6'
2022-01-23 23:59:57+00:00,"b""@BemilGame @BEMILGame #Bemil Perfect!.I am confident that Bemil will reach the pinnacle of NFT's game....I think super project will bring you wealth... Let\xe2\x80\x99s play it!..- https://t.co/JPisYgRlDm"""
2022-01-23 23:59:57+00:00,b'@Beryll_NFT \xf0\x9f\x91\x9f Check out this 1/1 glitchKICKS #NFT! \xf0\x9f\x91\x9f\n                  \n\xe2\x99\xbb and \xe2\x9d\xa4 for support\n\nCome join our #NFTCommunity on discord: https://t.co/MXAoVLLblh\n\n#NFTshilling #nftart #NFTCommunity #sneakerhead https://t.co/yuo08dDwhY'
2022-01-23 23:59:57+00:00,b'#crypto #opensea #NFT #NFTs #NFTCommunity  #polygonNFT #Ethereum #OpenSeaNFT #ApeFollowApe #NFTGiveaway #polygonape  \n@opensea #nftcollector #nftart  #BAYC \n@neymarjr #ApeGang #ape\n BULLISH RIGHT COLLECTION \nNFT IS HOLDING BAYC\nLETSGO POLYGON 0.015 eth https://t.co/fwe6KxRjfV'
2022-01-23 23:59:57+00:00,"b""RT @ZukiNFT: In celebration of our Roadmap, pre-sale, and reveal we're giving away 3 free NFTs and 3 whitelist!\nHow to enter \xe2\xac\x87\xef\xb8\x8f\n\n1. Follow\xe2\x80\xa6"""
2022-01-23 23:59:57+00:00,b'RT @SwaggyPunks1: \xf0\x9f\x8e\x81 GIVEAWAY TIME!\n\xf0\x9f\x8f\x86Prize: SwaggyPunk#107\n--------\n\n\xf0\x9f\xa4\x94How to Enter:\n1) Follow @SwaggyPunks1\n2) Like and RT This Tweet\n3) Tag\xe2\x80\xa6'
2022-01-23 23:59:57+00:00,"b'RT @GeometricZen: METAVERSE\n\nIs Metaverse the next Big Thing ?\nYes, it is.\n\nhttps://t.co/rgDKTPEpXY\n\n#metverse #innovation #blockchain #fut\xe2\x80\xa6'"
2022-01-23 23:59:57+00:00,b'RT @adrian__chamber: \xf0\x9f\x98\x8eWanna Win An #NFT \n\n\xf0\x9f\x91\x87Join This Amazing #Giveaway\n\nRules\n\n\xf0\x9f\x94\xa5Follow - @guineamond\n\xf0\x9f\x94\xa5RT &amp; Like\n\n\xe2\x9d\xa4\xef\xb8\x8fThere will be 20 winners\xe2\x80\xa6'
2022-01-23 23:59:57+00:00,"b'RT @LocoMetaGlobal: Dear pasengers, we have started a whitelist event before our train starts to its journey! You may find detailed informa\xe2\x80\xa6'"
2022-01-23 23:59:57+00:00,"b'Proud owner of @dogsontheblock 5239, getting deep into this project let\xe2\x80\x99s get it to the  \xf0\x9f\x9a\x80 #NFT #Solana @dogsontheblock https://t.co/dm0XGfCs9M'"
2022-01-23 23:59:57+00:00,"b""RT @Eina_hpets85: .@ArtPunksNFT is about to moon. If you haven't picked one up yet, now is time. So many amazing punk/artist combos availab\xe2\x80\xa6"""
2022-01-23 23:59:57+00:00,b'RT @XRPLead: \xcb\x87\n\xf0\x9f\x8e\x81@xfatenft GIVEAWAY \n\n\xf0\x9f\xaa\x990.1 $XFATE each to 10 winners!\n\n1\xef\xb8\x8f\xe2\x83\xa3Follow @XRPLead &amp; @xfatenft\n2\xef\xb8\x8f\xe2\x83\xa3Like &amp; RT\n3\xef\xb8\x8f\xe2\x83\xa3Comment\xf0\x9f\x91\x89\xf0\x9f\x8f\xbbHave FAITH in\xe2\x80\xa6'
2022-01-23 23:59:57+00:00,b'RT @RetsuNFT: 3x SQUIGGLES WL GIVEAWAY \xf0\x9f\xa6\x84\xf0\x9f\x8c\x88\n\nTo enter \n- Follow me with \xf0\x9f\x94\x94 \n- RT &amp; like this \n- Tag 3 friends \n\nWinner picked in 48 Hours\n#NFT\xe2\x80\xa6'
2022-01-23 23:59:57+00:00,b'RT @misterdushan: Who wants a 3D model of their own NFT ? Dm me  https://t.co/IWHXMcB9iH #bayc #mayc https://t.co/0SeEl0IM0Q'
2022-01-23 23:59:57+00:00,b'RT @0n1Force: \xe2\x9c\xa8Lives of Asuna x 0N1 Force\xf0\x9f\x91\xba\n\nA familiar presence has appeared in the Enclave bearing 5x allowlist spots to experience Asuna\xe2\x80\x99\xe2\x80\xa6'
2022-01-23 23:59:57+00:00,"b""RT @Museum_Refined: As a holders of Museum NFT we have brought something to them $75 off Token Frames. \n\nDon't forget to verify in discord\xe2\x80\xa6"""
2022-01-23 23:59:57+00:00,"b""RT @metapenguinsnft: WHITELIST + NFT GIVEAWAY \xf0\x9f\x8e\x89\n\nIn celebration of our Discord opening, we're giving away 5 free NFTs + 10 whitelist spots\xe2\x80\xa6"""
2022-01-23 23:59:57+00:00,b'RT @MrtimTum00: Drop Your ETH #NFT \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80'
2022-01-23 23:59:57+00:00,b'RT @ShorNFT: `A chance to win $4000\n\n@spiritual_kitty\n is opening 888 WL spots. Only 1 winner in those 888 spots will get $4000 in #MATIC.\xe2\x80\xa6'
2022-01-23 23:59:56+00:00,b'RT @NFTYakov: I\xe2\x80\x99ve partnered up with @playonenft to give away 10 whitelist spots \xf0\x9f\x94\xa5\n\nTo Enter \xf0\x9f\x91\x87\n1\xef\xb8\x8f\xe2\x83\xa3Follow @playonenft &amp; @galinft\n2\xef\xb8\x8f\xe2\x83\xa3Like &amp; R\xe2\x80\xa6'
2022-01-23 23:59:56+00:00,b'RT @ManwayCrypto: BAYC Holders are buying Gold-Diggers for the Metaverse\xf0\x9f\x92\x8e\xf0\x9f\x90\x92\n\nPublic sale: January 25th\xf0\x9f\x9a\x80\n\nFashioned by Dior Artist\xe2\x9c\xa8\n\nDiscord\xe2\x80\xa6'
2022-01-23 23:59:56+00:00,"b'RT @PowerPixelNFTs: #NFTGiveaway Red Kaizer\xf0\x9f\x8e\x81\n\n3x Winners\xf0\x9f\x8f\x86\n\n\xe2\x98\x91\xef\xb8\x8fFollow, RT +\xe2\x99\xa5\xef\xb8\x8f&amp; Tag 3 friends\n\n24H\xe2\x8f\xb3\n\n#NFT #NFTCommunity #NFTCollector #NFTGive\xe2\x80\xa6'"
2022-01-23 23:59:56+00:00,b'RT @CryptoInu_ABCD: Crypto Inu is an immersive multiplayer board game with 3D and VR modes that incorporates metaverse real estate investme\xe2\x80\xa6'
2022-01-23 23:59:56+00:00,b'RT @GolemZGuard: The armada of nft toys continues to grow !!! LFG'
2022-01-23 23:59:56+00:00,b'RT @MonkeyPromos: 1 person who retweets and follows me will win a #BoredApeYC NFT worth 12 $ETH\n\nHappy new year \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 https://t.co/9oJEuza0jR'
2022-01-23 23:59:56+00:00,b'RT @ManwayCrypto: BAYC Holders are buying Gold-Diggers for the Metaverse\xf0\x9f\x92\x8e\xf0\x9f\x90\x92\n\nPublic sale: January 25th\xf0\x9f\x9a\x80\n\nFashioned by Dior Artist\xe2\x9c\xa8\n\nDiscord\xe2\x80\xa6'
2022-01-23 23:59:56+00:00,b'$ETH is incredibly cheap right now\nSeems like a good time pick up your 1st #ShibuShiba #NFT!\nJust 0.01 $ETH!\nArt by #manga artist @Maekawa_Kazuo \nhttps://t.co/fbCq6TiPmc\n#NFTs #NFTcommunity #NFTJapan #pixelart #NFTcollector \n#opensea'
2022-01-23 23:59:56+00:00,b'RT @GoldenApeNFT: \xf0\x9f\x8e\x81 #NFTGiveaway \xf0\x9f\x8e\x81\n\n- Drippy Penguin #NFT\n\nTo Win:\n1\xef\xb8\x8f\xe2\x83\xa3 Follow me \n2\xef\xb8\x8f\xe2\x83\xa3 \xe2\x9d\xa4\xef\xb8\x8f&amp; RT\n3\xef\xb8\x8f\xe2\x83\xa3 Tag 3 frens\n\nWinner will be drawn in 48 ho\xe2\x80\xa6'
2022-01-23 23:59:56+00:00,b'RT @DynamoSuperX: NFT restaurants are a thing now. https://t.co/RkqB6ryeqY'
2022-01-23 23:59:56+00:00,"b""@steveyphil92 @ecomi_ @veve_official Thanks for sharing! Strange that they didn't mention the Mickey NFT collection though. Are they unaware of it, or do they think it doesn't matter? Because the former Disney exec seems to imply the golden moments were a one time promotional deal between Disney and VeVe."""
2022-01-23 23:59:56+00:00,b'Ok\xe2\x80\xa6 im really really bullish on @CryptoBatzNFT \xf0\x9f\x94\xa5 WTF \xf0\x9f\x98\xb6\xf0\x9f\xa4\xadThey R WORKING WITH THE BIGGEST BLUE CHIPS in the #nft space like #BAYC #alienfrens #CyberKongz #deadfellaz and other ones! SO WITH NO DELAY HERE IS MY  #NewProfilePic \xf0\x9f\x93\xb8\xf0\x9f\x98\x9c\n\xe2\x9a\xa1\xef\xb8\x8fThis is huge\xe2\x9a\xa1\xef\xb8\x8f \nPIN THIS MOTHERFUCKING TWEET\xf0\x9f\x98\x88 https://t.co/dhHDsV9MUn'
2022-01-23 23:59:56+00:00,"b""@TheClassicDoge Hey. I love the idea of having my cute lil pets tokenised. I am excited about this project and I've come to stay. I wanna add this NFT to my collection. I hope I get one."""
2022-01-23 23:59:56+00:00,"b'RT @horigu2000: NFT Giveaway total worth more than 1,000$ ! Do not miss this chance to grab World renown NFTs Genesis Drop ! Join Now ton W\xe2\x80\xa6'"
2022-01-23 23:59:56+00:00,"b""Check out \n@WhiteListNFTxyz\n which is a pure utility NFT and they are creating something that hasn't been done before to this scale or level!!!  Join the discord to learn more: https://t.co/NoxqPMsVMj\n\n#NFTproject #NFT #WhitelistNFTxyz"""
2022-01-23 23:59:56+00:00,"b""RT @TerraFits: \xf0\x9f\x93\xa2Attention fellow #LUNAtics\n\n\xf0\x9f\xa5\xb3Our @angelprotocol charity auctions on the first 10 Terra Fits #NFT's are now live on @Protoco\xe2\x80\xa6"""
2022-01-23 23:59:56+00:00,"b'RT @sportcashone: \xf0\x9f\x98\xb1 \xf0\x9d\x99\x90\xf0\x9d\x99\x8b \xf0\x9d\x99\x8f\xf0\x9d\x99\x8a 90% \xf0\x9d\x98\xbc\xf0\x9d\x99\x8b\xf0\x9d\x99\x94 \xf0\x9f\x98\xb1\n\nSCONEX Fixed Savings will be available on January 17, 2022 (EST). \n\nGet all the info here \xf0\x9f\x91\x89 https://t.\xe2\x80\xa6'"
2022-01-23 23:59:56+00:00,"b'RT @VoxxtOfficial: 4 DAYS LEFT UNTIL PUBLIC SALE \xf0\x9f\x98\xb1 How excited are you feeling?!\n\nAlso, RT this and tag 3 friends to win a #VOXXT NFT or $2\xe2\x80\xa6'"
2022-01-23 23:59:56+00:00,b'at the front lines of the NFT revolution i can\xe2\x80\x99t move'
2022-01-23 23:59:55+00:00,"b'\xe2\x9a\xa1 Rare Artwork: ""Silhouette I"" \xe2\x9a\xa1\n\nWho will give this gem a new home? \xf0\x9f\x91\x80\n\xe2\x9e\xa1 50% of sales will go back into the #NFTCommunity\n\nhttps://t.co/G97Fm4eyJH #artwork #NFT #NFTart #LGBTQ #nftcollector #cryptoartist #NFTs #wezenaar #rickwezenaar https://t.co/aA4HkonD7m'"
2022-01-23 23:59:55+00:00,b'RT @0xSummy: $500 | one winner | 48 hours \n\n\xe2\x80\xa2 250\nMust retweet this and follow @plurapeclub  &amp; myself \n\n\xe2\x80\xa2 $250\nJoin discord (post proof)\nht\xe2\x80\xa6'
2022-01-23 23:59:55+00:00,b'@ElRealGenius @PsychoKittiesOG @Ugonzo_art Niceee \xf0\x9f\x98\xac \xf0\x9f\x94\xa5'
2022-01-23 23:59:55+00:00,b'RT @NFTYakov: I\xe2\x80\x99ve partnered up with @playonenft to give away 10 whitelist spots \xf0\x9f\x94\xa5\n\nTo Enter \xf0\x9f\x91\x87\n1\xef\xb8\x8f\xe2\x83\xa3Follow @playonenft &amp; @galinft\n2\xef\xb8\x8f\xe2\x83\xa3Like &amp; R\xe2\x80\xa6'
2022-01-23 23:59:55+00:00,b'@CYBR_nft #MalaikaArora #WaqarZakaWasRight #Mudassir hussain'
2022-01-23 23:59:55+00:00,"b'RT @opsqt: My FAV new NFT project is minting TONIGHT at 12:00AM EST! Ponzi Panthers, inspired by the Pink Panther\xf0\x9f\x91\x80\n\n1 person who RT\xe2\x80\x99s will\xe2\x80\xa6'"
2022-01-23 23:59:55+00:00,b'RT @PlasmaCrypto: Me &amp; @DivineAssembly are Giving Away 1 NFT in 24 Hours \xf0\x9f\x92\x8e\n\n\xf0\x9f\x94\xa5 RT + Follow @DivineAssembly  \n\xf0\x9f\x94\xa5 Join Discord: https://t.co/ED\xe2\x80\xa6'
2022-01-23 23:59:55+00:00,b'RT @ManwayCrypto: BAYC Holders are buying Gold-Diggers for the Metaverse\xf0\x9f\x92\x8e\xf0\x9f\x90\x92\n\nPublic sale: January 25th\xf0\x9f\x9a\x80\n\nFashioned by Dior Artist\xe2\x9c\xa8\n\nDiscord\xe2\x80\xa6'
2022-01-23 23:59:55+00:00,"b'Current Price of BITCOIN (BTC): $ 36306, 24H Change = 3.2005686195213774 %, 24H Volume = $ 22865032968.608204, Buy #Bitcoin to Get Rich, #BTC, #BTCUSD, #bitcoin2022, #cryptocurrency, #crypto, #NFT #NFTS #nftcommunity'"
2022-01-23 23:59:55+00:00,b'RT @ParisHilton: Glad I explained what an NFT was to him\xe2\x98\xba\xef\xb8\x8f'
2022-01-23 23:59:55+00:00,b'RT @ElRealGenius: The Rise of Mollies - inspired by community. This drop is to thank each and everyone of you. Please read the details for\xe2\x80\xa6'
2022-01-23 23:59:55+00:00,b'RT @robofrens: We\xe2\x80\x99re giving away one FREE @robofrens NFT!\xf0\x9f\x9a\x80\n\nTo enter:\n1. Follow @robofrens \xf0\x9f\xa4\x96\n2. Like &amp; RT this post! \xe2\x9d\xa4\xef\xb8\x8f\n3. Drop your $ETH a\xe2\x80\xa6'
2022-01-23 23:59:55+00:00,b'RT @PixelSQUIDBSC: \xf0\x9f\x8e\x81Announce community PIXELSQUID Game About creating a new contest \xf0\x9f\x94\xa5\n\n\xe2\x9a\xa1\xef\xb8\x8fWEEK OF POWER\xe2\x9a\xa1\xef\xb8\x8f\n\n\xf0\x9f\x9a\x80Buy Challenger of #PixelSQUID\xe2\x80\xa6'
2022-01-23 23:59:55+00:00,b'RT @hunterdotgame: \xe2\x9a\xa1\xef\xb8\x8fFLASH DISCORD GIVEAWAY\xe2\x9a\xa1\xef\xb8\x8f\n\n\xf0\x9f\x8e\x895 WL &amp; ETH contest in Discord everyday!! \xf0\x9f\x8e\x89\n\nJoin Discord\xf0\x9f\x91\x87 to WIN: \nhttps://t.co/ZKKjWlilqM\xe2\x80\xa6'
2022-01-23 23:59:55+00:00,b'@NFT_Guru @brycent_ @PegaxyOfficial He is not an educator. Just a \xf0\x9f\xa4\xa1'
2022-01-23 23:59:55+00:00,"b'RT @ChiefAu_: @metab_nft @Helloimmorgan @metab_nft is my top choice, so much hood coming from this one project. From events to helping othe\xe2\x80\xa6'"
2022-01-23 23:59:54+00:00,b'@cometwtf @TThugsNFT  NFT MINT SOON \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80 https://t.co/I5ESUGPs0b'
2022-01-23 23:59:54+00:00,"b'RT @dailyjoker90: Right gonna try that again! First 50 to Like, Follow, Retweet and drop your RelayX paymail get a Jokers Smile NFT'"
2022-01-23 23:59:54+00:00,b'RT @SantaMinersNFT: \xf0\x9f\x8e\x81Huge Giveaway\xf0\x9f\x8e\x81 \n\nWe are giving away a FREE @Cartoon_Cartel NFT\xf0\x9f\x94\xa5\n\nRequirements: \n1. Follow @SantaMinersNFT and @Cartoon\xe2\x80\xa6'
2022-01-23 23:59:54+00:00,b'RT @AiyahGameVerse: It is finally coming soon! 3 hours to our genesis sale!\n\ncheck us out at: https://t.co/a5TYGBcnNq\n\nmint site: https://t\xe2\x80\xa6'
2022-01-23 23:59:54+00:00,"b'RT @METAMINERSNFT: In less than 24 hours 10,000 Unique Metaminers will hit the metaverse! \n\nWe hope to see you there for mint https://t.co/\xe2\x80\xa6'"
2022-01-23 23:59:54+00:00,"b""RT @TaylorMusk_: What #ALTCOIN would you recommend me to buy in this market crash \xe2\x81\x89\xef\xb8\x8f\xf0\x9f\xa4\x94\n\nStay strong and don't miss this opportunity \xf0\x9f\x98\x8e\xf0\x9f\x94\xa5\n\n#BSC\xe2\x80\xa6"""
2022-01-23 23:59:54+00:00,"b'@NFTGUYY @DivineAssembly The concept of this project is UNIQUE and SIMPLE!\n\nIn each NFT, there is a ceiling price!\n\n\xe2\x80\x9cOnce you buy a NFT at an accurate ceiling price X, get for free a new NFT with a Ceiling Price of X + 100 ETH\xe2\x80\x9d\n\nFirst come, first served...\n\n#FreeNFT\n\nhttps://t.co/VB22o5Q64z'"
2022-01-23 23:59:54+00:00,b'Milki the chihuahua with SquidGame\nBe sure to check out the NFT: https://t.co/DIM97Wpn2z\n \n#NFT #OpenSeaNFT #Chihuahua #MilkiTheChihuahua #SquidGame https://t.co/d2TsqM9nFY'
2022-01-23 23:59:54+00:00,b'RT @benfowlkesMMA: UFC NFT owners rolling into Buffalo Wild Wings for the next pay-per-view. https://t.co/dbSsT1DXqj'
2022-01-23 23:59:54+00:00,"b""RT @VoltInuOfficial: Meet Debbie! She's recently turned single and ready to mingle!\xf0\x9f\x92\x8b\xf0\x9f\x92\x98\n\nShe's looking for a hot ape in her life! Please subm\xe2\x80\xa6"""
2022-01-23 23:59:54+00:00,b'RT @CryptooUnity: NFT Sent To New Owner. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x99 https://t.co/7B6TcJPXTf'
2022-01-23 23:59:54+00:00,b'WIP Quote City\nFinished sketch.\nTime for inking.\n\nSUCCESS IS A JOURNEY NOT A DESTINATION\n\n#nft #nftcollector #NFTCommunity https://t.co/15ux5Y7GCZ'
2022-01-23 23:59:54+00:00,b'RT @angelprotocol: @TerraFits is an aesthetic NFT Collection of 365 unique outfits around the world. https://t.co/Ib8uj1NKJl'
2022-01-23 23:59:54+00:00,b'RT @nudiecommunity: Tell him about us \xf0\x9f\x91\x80 @ParisHilton \n\nWe love having you apart of our women led community \xf0\x9f\x92\x95\n\n#WomeninNFTs #NFT #NFTs https\xe2\x80\xa6'
2022-01-23 23:59:54+00:00,"b""RT @HALOvsHORN: Let's go guys! Tag friends follow @GainGangNFT #NFT #NFTCommmunity"""
2022-01-23 23:59:54+00:00,b'RT @nudiecommunity: Tell him about us \xf0\x9f\x91\x80 @ParisHilton \n\nWe love having you apart of our women led community \xf0\x9f\x92\x95\n\n#WomeninNFTs #NFT #NFTs https\xe2\x80\xa6'
2022-01-23 23:59:54+00:00,"b""RT @Iron_Stylus: If you haven't taken a look at this incredible deep dive into cryptocurrency and NFT's, you'd be wise to take the 2+ hours\xe2\x80\xa6"""
2022-01-23 23:59:54+00:00,"b""RT @Grumpy_Pandaz: Do you know what makes us different from other NFTs? \xf0\x9f\x90\xbc\n\nIt's that we are not tied to any other crypto-currency but to ou\xe2\x80\xa6"""
